Code,Digit,Name_EN,Name_KO,Name_JA,Reg,Type,Typo,Pendulum,Staple,Arch,Usage,Possible
4021,45231177,Flame Swordsman,화염의 검사,炎の剣士,,엑스트라,융합,FALSE,전용,화염의 검사,0,FALSE
4021,45231178,Flame Swordsman,화염의 검사,炎の剣士,,엑스트라,융합,FALSE,전용,화염의 검사,0,FALSE
4022,71625222,Time Wizard,시간의 마술사,時の魔術師,,메인,효과,FALSE,전용,마술사,0,FALSE
4023,8124921,Right Leg of the Forbidden One,봉인된 자의 오른쪽 다리,封印されし者の右足,제한,메인,일반,FALSE,전용,엑조디아,0,TRUE
4024,44519536,Left Leg of the Forbidden One,봉인된 자의 왼쪽 다리,封印されし者の左足,제한,메인,일반,FALSE,전용,엑조디아,0,TRUE
4025,70903634,Right Arm of the Forbidden One,봉인된 자의 오른쪽 팔,封印されし者の右腕,제한,메인,일반,FALSE,전용,엑조디아,0,TRUE
4026,7902349,Left Arm of the Forbidden One,봉인된 자의 왼쪽 팔,封印されし者の左腕,제한,메인,일반,FALSE,전용,엑조디아,0,TRUE
4027,33396948,Exodia the Forbidden One,봉인된 엑조디아,封印されしエクゾディア,제한,메인,효과,FALSE,전용,엑조디아,0,TRUE
4028,70781052,Summoned Skull,데몬 소환,デーモンの召喚,,메인,일반,FALSE,전용,데몬소환,0,FALSE
4028,70781053,Summoned Skull,데몬 소환,デーモンの召喚,,메인,일반,FALSE,전용,데몬소환,0,FALSE
4028,70781054,Summoned Skull,데몬 소환,デーモンの召喚,,메인,일반,FALSE,전용,데몬소환,0,FALSE
4028,70781055,Summoned Skull,데몬 소환,デーモンの召喚,,메인,일반,FALSE,전용,데몬소환,0,FALSE
4029,6285791,The Wicked Worm Beast,사악한 웜 괴물,邪悪なるワーム・ビースト,,메인,효과,FALSE,,,0,FALSE
4030,32274490,Skull Servant,저주받은 하인,ワイト,,메인,일반,FALSE,전용,하인,3,TRUE
4031,69669405,Horn Imp,,インプ,,메인,일반,FALSE,,,0,FALSE
4032,5053103,Battle Ox,미노타우로스,ミノタウルス,,메인,일반,FALSE,,,0,FALSE
4033,32452818,Beaver Warrior,루이즈,ルイーズ,,메인,일반,FALSE,,,0,FALSE
4034,68846917,Rock Ogre Grotto #1,바위 마신 오우거록,岩窟魔人オーガ・ロック,,메인,일반,FALSE,,,0,FALSE
4035,4931562,Mountain Warrior,,マウンテン・ウォーリアー,,메인,일반,FALSE,,,0,FALSE
4036,31339260,Zombie Warrior,,アンデット・ウォーリアー,,엑스트라,융합,FALSE,전용,없음,0,FALSE
4037,67724379,Koumori Dragon,데블 드래곤,デビル・ドラゴン,,메인,일반,FALSE,,,0,FALSE
4038,94119974,Two-Headed King Rex,두 머리의 킹렉스,二頭を持つキング・レックス,,메인,일반,FALSE,,,0,FALSE
4039,30113682,Judge Man,심판자,ジャッジ・マン,,메인,일반,FALSE,,,0,FALSE
4040,66602787,Saggi the Dark Clown,어둠의 어릿광대 사기,闇・道化師のサギー,,메인,일반,FALSE,,,0,FALSE
4041,46986414,Dark Magician,블랙 매지션,ブラック・マジシャン,,메인,일반,FALSE,전용,블랙매지션,0,TRUE
4041,46986415,Dark Magician,블랙 매지션,ブラック・マジシャン,,메인,일반,FALSE,전용,블랙매지션,0,TRUE
4041,46986416,Dark Magician,블랙 매지션,ブラック・マジシャン,,메인,일반,FALSE,전용,블랙매지션,0,TRUE
4041,46986417,Dark Magician,블랙 매지션,ブラック・マジシャン,,메인,일반,FALSE,전용,블랙매지션,0,TRUE
4041,46986418,Dark Magician,블랙 매지션,ブラック・マジシャン,,메인,일반,FALSE,전용,블랙매지션,0,TRUE
4041,46986419,Dark Magician,블랙 매지션,ブラック・マジシャン,,메인,일반,FALSE,전용,블랙매지션,0,TRUE
4041,46986420,Dark Magician,블랙 매지션,ブラック・マジシャン,,메인,일반,FALSE,전용,블랙매지션,0,TRUE
4041,46986421,Dark Magician,블랙 매지션,ブラック・マジシャン,,메인,일반,FALSE,전용,블랙매지션,0,TRUE
4041,46986422,Dark Magician,블랙 매지션,ブラック・マジシャン,,메인,일반,FALSE,전용,블랙매지션,0,TRUE
4042,29491031,The Snake Hair,,メデューサの亡霊,,메인,일반,FALSE,,,0,FALSE
4043,66889139,Gaia the Dragon Champion,용기사 가이아,竜騎士ガイア,,엑스트라,융합,FALSE,전용,가이아,0,FALSE
4044,6368038,Gaia The Fierce Knight,암흑 기사 가이아,暗黒騎士ガイア,,메인,일반,FALSE,전용,가이아,0,FALSE
4044,6368039,Gaia The Fierce Knight,암흑 기사 가이아,暗黒騎士ガイア,,메인,일반,FALSE,전용,가이아,0,FALSE
4045,28279543,Curse of Dragon,커스 오브 드래곤,カース・オブ・ドラゴン,,메인,일반,FALSE,전용,커스오브,0,FALSE
4046,55763552,Dragon Piper,항아리 마인,壺魔人,,메인,효과,FALSE,,,0,FALSE
4047,91152256,Celtic Guardian,엘프 검사,エルフの剣士,,메인,일반,FALSE,,,0,FALSE
4047,91152257,Celtic Guardian,엘프 검사,エルフの剣士,,메인,일반,FALSE,,,0,FALSE
4047,91152258,Celtic Guardian,엘프 검사,エルフの剣士,,메인,일반,FALSE,,,0,FALSE
4048,28546905,Illusionist Faceless Mage,환술사 노페이스,幻想師・ノー・フェイス,,메인,일반,FALSE,,,0,FALSE
4049,54541900,Karbonala Warrior,카르보나라 전사,カルボナーラ戦士,,엑스트라,융합,FALSE,기타,융합,0,TRUE
4050,91939608,Rogue Doll,성스러운 인형,ホーリー・ドール,,메인,일반,FALSE,,,0,FALSE
4051,27324313,Wattkid,일렉키즈,エレキッズ,,메인,일반,FALSE,전용,일렉,0,FALSE
4052,53829412,Griffore,그리폴,グリフォール,,메인,일반,FALSE,,,0,FALSE
4053,80813021,Torike,,サイガー,,메인,일반,FALSE,,,0,FALSE
4054,26202165,Sangan,크리터,クリッター,,메인,효과,FALSE,범용,범용,113,TRUE
4055,53606874,Big Insect,,ビック・アント,,메인,일반,FALSE,,,0,FALSE
4056,89091579,Basic Insect,곤충 인간,昆虫人間,,메인,일반,FALSE,,,0,FALSE
4057,15480588,Armored Lizard,아머 리저드,鎧蜥蜴,,메인,일반,FALSE,,,0,FALSE
4058,52584282,Hercules Beetle,헤라클레스 비틀,ヘラクレス・ビートル,,메인,일반,FALSE,,,0,FALSE
4059,88979991,Killer Needle,킬러비,キラー・ビー,,메인,일반,FALSE,전용,곤충족,0,TRUE
4060,15367030,Gokibore,,ゴキボール,,메인,일반,FALSE,,,0,FALSE
4061,41762634,Giant Flea,,吸血ノミ,,메인,일반,FALSE,,,0,FALSE
4062,87756343,Larvae Moth,라바모스,ラーバモス,,메인,효과,FALSE,전용,모스,0,FALSE
4063,14141448,Great Moth,그레이트 모스,グレート・モス,,메인,효과,FALSE,,,0,FALSE
4064,40640057,Kuriboh,크리보,クリボー,,메인,효과,FALSE,전용,크리보,3,TRUE
4064,40640058,Kuriboh,크리보,クリボー,,메인,효과,FALSE,전용,크리보,3,TRUE
4064,40640059,Kuriboh,크리보,クリボー,,메인,효과,FALSE,전용,크리보,3,TRUE
4065,40374923,Mammoth Graveyard,맘모스의 무덤,マンモスの墓場,,메인,일반,FALSE,,,0,FALSE
4066,13429800,Great White,백상어,グレート・ホワイト,,메인,일반,FALSE,,,0,FALSE
4067,49417509,Wolf,,オオカミ,,메인,일반,FALSE,,,0,FALSE
4068,76812113,Harpie Lady,해피 레이디,ハーピィ・レディ,,메인,일반,FALSE,전용,해피,0,FALSE
4069,12206212,Harpie Lady Sisters,해피 레이디 세자매,ハーピィ・レディ三姉妹,,메인,효과,FALSE,전용,해피,0,FALSE
4070,49791927,Tiger Axe,타이거 엑스,タイガー・アックス,,메인,일반,FALSE,,,0,FALSE
4070,49791928,Tiger Axe,타이거 엑스,タイガー・アックス,,메인,일반,FALSE,,,0,FALSE
4071,90357090,Silver Fang,실버 팽,シルバー・フォング,,메인,일반,FALSE,,,0,FALSE
4072,1184620,Kojikocy,마물 사냥꾼,魔物の狩人,,메인,일반,FALSE,,,0,FALSE
4073,48579379,Perfectly Ultimate Great Moth,궁극완전체 그레이트 모스,究極完全態・グレート・モス,,메인,효과,FALSE,전용,그레이트모스,0,FALSE
4074,14977074,Garoozis,,ガルーザス,,메인,일반,FALSE,,,0,FALSE
4075,41462083,Thousand Dragon,천년룡,千年竜,,엑스트라,융합,FALSE,전용,죠이,0,FALSE
4075,41462084,Thousand Dragon,천년룡,千年竜,,엑스트라,융합,FALSE,전용,죠이,0,FALSE
4076,77456781,Fiend Kraken,,デビル・クラーケン,,메인,일반,FALSE,,,0,FALSE
4077,14851496,Jellyfish,해파리,海月－ジェリーフィッシュ－,,메인,일반,FALSE,,,0,FALSE
4078,40240595,Cocoon of Evolution,진화의 고치,進化の繭,,메인,효과,FALSE,전용,모스,0,FALSE
4079,76634149,Kairyu-Shin,,海竜神,,메인,일반,FALSE,,,0,FALSE
4080,13039848,Giant Soldier of Stone,암석 거인,岩石の巨兵,,메인,일반,FALSE,,,0,FALSE
4081,49127943,Man-Eating Plant,,人喰い植物,,메인,일반,FALSE,,,0,FALSE
4082,76512652,Krokodilus,,クロコダイラス,,메인,일반,FALSE,,,0,FALSE
4083,2906250,Grappler,,グラップラー,,메인,일반,FALSE,,,0,FALSE
4084,48305365,Axe Raider,엑스 레이더,アックス・レイダー,,메인,일반,FALSE,,,0,FALSE
4085,75390004,Megazowler,,メガザウラー,,메인,일반,FALSE,,,0,FALSE
4086,1784619,Uraby,와일드 랩터,ワイルド・ラプター,,메인,일반,FALSE,,,0,FALSE
4087,38289717,Crawling Dragon #2,,屍を貪る竜,,메인,일반,FALSE,,,0,FALSE
4088,74677422,Red-Eyes Black Dragon,붉은 눈의 흑룡,真紅眼の黒竜,,메인,일반,FALSE,전용,흑룡,0,TRUE
4088,74677423,Red-Eyes Black Dragon,붉은 눈의 흑룡,真紅眼の黒竜,,메인,일반,FALSE,전용,흑룡,0,TRUE
4088,74677424,Red-Eyes Black Dragon,붉은 눈의 흑룡,真紅眼の黒竜,,메인,일반,FALSE,전용,흑룡,0,TRUE
4088,74677425,Red-Eyes Black Dragon,붉은 눈의 흑룡,真紅眼の黒竜,,메인,일반,FALSE,전용,흑룡,0,TRUE
4088,74677426,Red-Eyes Black Dragon,붉은 눈의 흑룡,真紅眼の黒竜,,메인,일반,FALSE,전용,흑룡,0,TRUE
4088,74677427,Red-Eyes Black Dragon,붉은 눈의 흑룡,真紅眼の黒竜,,메인,일반,FALSE,전용,흑룡,0,TRUE
4088,74677428,Red-Eyes Black Dragon,붉은 눈의 흑룡,真紅眼の黒竜,,메인,일반,FALSE,전용,흑룡,0,TRUE
4089,62121,Castle of Dark Illusions,암흑의 성,闇晦ましの城,,메인,효과,FALSE,,,0,FALSE
4090,33066139,Reaper of the Cards,카드의 사신,カードを狩る死神,,메인,효과,FALSE,,,0,FALSE
4091,69455834,King of Yamimakai,암흑 마계의 패왕,闇魔界の覇王,,메인,일반,FALSE,,,0,FALSE
4092,6840573,Barox,,バロックス,,엑스트라,융합,FALSE,전용,없음,0,FALSE
4093,32344688,Dark Chimera,,ダーク・キメラ,,메인,일반,FALSE,,,0,FALSE
4094,68339286,Metal Guardian,,メタル・ガーディアン,,메인,일반,FALSE,,,0,FALSE
4095,95727991,Catapult Turtle,중강갑 거북,カタパルト・タートル,,메인,효과,FALSE,,,0,FALSE
4096,31122090,Gyakutenno Megami,역전의 여신,逆転の女神,,메인,일반,FALSE,,,0,FALSE
4096,31122091,Gyakutenno Megami,역전의 여신,逆転の女神,,메인,일반,FALSE,,,0,FALSE
4097,68516705,Mystic Horseman,켄타우로스,ケンタウロス,,메인,일반,FALSE,,,0,FALSE
4098,94905343,Rabid Horseman,미노켄타우로스,ミノケンタウロス,,엑스트라,융합,FALSE,기타,융합,0,TRUE
4099,30090452,Zanki,,鎧武者斬鬼,,메인,일반,FALSE,,,0,FALSE
4100,67494157,Crawling Dragon,땅을 기는 드래곤,地を這うドラゴン,,메인,일반,FALSE,,,0,FALSE
4101,93889755,Crass Clown,머더 서커스,マーダーサーカス,,메인,효과,FALSE,,,0,FALSE
4102,20277860,Armored Zombie,갑옷 무사 좀비,鎧武者ゾンビ,,메인,일반,FALSE,,,0,FALSE
4103,66672569,Dragon Zombie,드래곤 좀비,ドラゴン・ゾンビ,,메인,일반,FALSE,,,0,FALSE
4104,92667214,Clown Zombie,,マーダーサーカス・ゾンビ,,메인,일반,FALSE,,,0,FALSE
4105,29155212,Pumpking the King of Ghosts,고스트 왕 펌프킹,ゴースト王－パンプキング－,,메인,효과,FALSE,,,0,FALSE
4106,55550921,Battle Warrior,,格闘戦士アルティメーター,,메인,일반,FALSE,,,0,FALSE
4107,92944626,Wings of Wicked Flame,사염의 날개,邪炎の翼,,메인,일반,FALSE,,,0,FALSE
4108,28933734,Mask of Darkness,암흑의 가면,闇の仮面,,메인,효과,FALSE,,,0,TRUE
4109,55337339,Job-Change Mirror,,転職の魔鏡,,메인,일반,FALSE,,,0,FALSE
4110,22026707,Curtain of the Dark Ones,,黒魔族のカーテン,,메인,일반,FALSE,,,0,FALSE
4111,46457856,Tomozaurus,토모사우르스,トモザウルス,,메인,일반,FALSE,,,0,TRUE
4112,54615781,Spirit of the Winds,,風の精霊,,메인,일반,FALSE,,,0,FALSE
4113,80600490,Kageningen,,シャドウ・ファイター,,메인,일반,FALSE,,,0,FALSE
4114,27094595,Graveyard and the Hand of Invitation,,手招きする墓場,,메인,일반,FALSE,,,0,FALSE
4115,53493204,Goddess with the Third Eye,심안의 여신,心眼の女神,,메인,효과,FALSE,,,1,TRUE
4116,89987208,Hero of the East,,東方の英雄,,메인,일반,FALSE,,,0,FALSE
4117,16972957,Doma The Angel of Silence,죽음의 침묵천사 도마,死の沈黙の天使 ドマ,,메인,일반,FALSE,,,0,FALSE
4118,52367652,That Which Feeds on Life,,命を食する者,,메인,일반,FALSE,,,0,FALSE
4119,9159938,Dark Gray,다크 그레이,ダーク・グレイ,,메인,일반,FALSE,,,0,FALSE
4120,15150365,White Magical Hat,흰 도둑,白い泥棒,,메인,효과,FALSE,,,0,FALSE
4121,41544074,Kamionwizard,카오스 위저드,カオス・ウィザード,,엑스트라,융합,FALSE,전용,카오스,1,TRUE
4122,88643173,Nightmare Scorpion,,ナイトメア・スコーピオン,,메인,일반,FALSE,,,0,FALSE
4123,14037717,Spirit of the Books,,本の精霊 ホーク・ビショップ,,메인,일반,FALSE,,,0,FALSE
4124,41422426,Supporter in the Shadows,,物陰の協力者,,메인,일반,FALSE,,,0,FALSE
4125,77827521,Trial of Nightmare,지옥의 심판,地獄の裁判,,메인,일반,FALSE,,,0,FALSE
4126,13215230,Dream Clown,드림 삐에로,ドリーム・ピエロ,,메인,효과,FALSE,,,0,FALSE
4127,40200834,Sleeping Lion,,眠れる獅子,,메인,일반,FALSE,,,0,FALSE
4128,76704943,Yamatano Dragon Scroll,,ヤマタノ竜絵巻,,메인,일반,FALSE,,,0,FALSE
4129,13193642,Dark Plant,,ダーク・プラント,,메인,일반,FALSE,,,0,FALSE
4130,49587396,Ancient Tool,,アイアン・ハート,,메인,일반,FALSE,,,0,FALSE
4131,75582395,Faith Bird,,セイント・バード,,메인,일반,FALSE,,,0,FALSE
4132,2971090,Orion the Battle King,,戦いの神 オリオン,,메인,일반,FALSE,,,0,FALSE
4133,48365709,Ansatsu,암살자,アサシン,,메인,일반,FALSE,,,0,FALSE
4134,75850803,LaMoon,,ラムーン,,메인,일반,FALSE,,,0,FALSE
4135,90963488,Nemuriko,잠자는 아이,眠り子,,메인,일반,FALSE,,,0,FALSE
4136,37243151,Weather Control,,ウェザー・コントロール,,메인,일반,FALSE,,,0,FALSE
4137,74637266,Octoberser,문어인어,オクトバーサー,,메인,일반,FALSE,,,0,FALSE
4138,32864,The 13th Grave,13번째 매장자,１３人目の埋葬者,,메인,일반,FALSE,,,0,FALSE
4139,37421579,Charubin the Fire Knight,화염의 기사,炎の騎士 キラー,,엑스트라,융합,FALSE,기타,융합,0,TRUE
4140,63515678,Mystical Capture Chain,,聖なる鎖,,메인,일반,FALSE,,,0,FALSE
4141,52800428,Fiend's Hand,,死者の腕,,메인,일반,FALSE,,,0,FALSE
4142,36304921,Witty Phantom,데스 사탄,魔人デスサタン,,메인,일반,FALSE,,,0,FALSE
4143,62793020,Mystery Hand,,なぞの手,,메인,일반,FALSE,,,0,FALSE
4144,9197735,Dragon Statue,,竜魂の石像,,메인,일반,FALSE,,,0,FALSE
4145,35282433,Blue-Eyed Silver Zombie,,青眼の銀ゾンビ,,메인,일반,FALSE,,,0,FALSE
4146,62671448,Toad Master,,トードマスター,,메인,일반,FALSE,,,0,FALSE
4147,98075147,Spiked Snail,,デビルツムリ,,메인,일반,FALSE,,,0,FALSE
4148,34460851,Flame Manipulator,화염의 조종자,炎を操る者,,메인,일반,FALSE,,,0,FALSE
4149,61454890,Necrolancer the Time-lord,,時の魔人 ネクロランサ,,메인,일반,FALSE,,,0,FALSE
4150,97843505,Djinn the Watcher of the Wind,,風の番人 ジン,,메인,일반,FALSE,,,0,FALSE
4151,24348204,The Bewitching Phantom Thief,,魅惑の怪盗,,메인,일반,FALSE,,,0,FALSE
4152,732302,Temple of Skulls,,髑髏の寺院,,메인,일반,FALSE,,,0,FALSE
4153,36121917,Monster Egg,몬스터 에그,モンスター・エッグ,,메인,일반,FALSE,,,0,FALSE
4154,63125616,The Shadow Who Controls the Dark,,闇を司る影,,메인,일반,FALSE,,,0,FALSE
4155,99510761,Lord of the Lamp,램프의 마인,ランプの魔人,,메인,일반,FALSE,,,0,FALSE
4156,36904469,Akihiron,,カクタス,,메인,일반,FALSE,,,0,FALSE
4157,62403074,Rhaimundos of the Red Sword,붉은 검의 라이문도스,赤き剣のライムンドス,,메인,일반,FALSE,,,0,FALSE
4158,98898173,The Melting Red Shadow,,とろける赤き影,,메인,일반,FALSE,,,0,FALSE
4159,25882881,Dokuroizo the Grim Reaper,,死神のドクロイゾ,,메인,일반,FALSE,,,0,FALSE
4160,53581214,Fire Reaper,,ファイヤー・デビル,,메인,일반,FALSE,,,0,FALSE
4161,94675535,Larvas,라바스,ラーバス,,메인,일반,FALSE,,,0,FALSE
4162,20060230,Hard Armor,견고한 갑옷,ハードアーマー,,메인,일반,FALSE,,,0,FALSE
4163,53293545,Firegrass,화염초,火炎草,,메인,일반,FALSE,,,0,FALSE
4164,93553943,Man Eater,식인꽃,マンイーター,,메인,일반,FALSE,,,0,FALSE
4165,29948642,Dig Beak,,ディッグ・ビーク,,메인,일반,FALSE,,,0,FALSE
4166,56342351,M-Warrior #1,마그넷 1호,マグネッツ１号,,메인,일반,FALSE,,,0,FALSE
4167,92731455,M-Warrior #2,마그넷 2호,マグネッツ２号,,메인,일반,FALSE,,,0,FALSE
4168,28725004,Tainted Wisdom,악마의 지혜,悪魔の知恵,,메인,효과,FALSE,,,0,FALSE
4169,55210709,Lisark,,サファイヤ・リサーク,,메인,일반,FALSE,,,0,FALSE
4170,81618817,Lord of Zemia,,ゼミアの神,,메인,일반,FALSE,,,0,FALSE
4171,28003512,The Judgement Hand,,ジャジメント・ザ・ハンド,,메인,일반,FALSE,,,0,FALSE
4172,54098121,Mysterious Puppeteer,의문의 인형술사,謎の傀儡師,,메인,효과,FALSE,,,0,FALSE
4173,81492226,Ancient Jar,,太古の壺,,메인,일반,FALSE,,,0,FALSE
4174,17881964,Darkfire Dragon,암흑의 화염룡,暗黒火炎龍,,엑스트라,융합,FALSE,기타,융합,0,TRUE
4175,53375573,Dark King of the Abyss,심연의 명왕,深淵の冥王,,메인,일반,FALSE,,,0,FALSE
4176,80770678,Spirit of the Harp,하프의 정령,ハープの精,,메인,일반,FALSE,,,0,FALSE
4177,16768387,Big Eye,빅 아이,大王目玉,,메인,효과,FALSE,,,0,FALSE
4178,53153481,Armaill,아메일,アーメイル,,메인,일반,FALSE,,,0,FALSE
4179,89558090,Dark Prisoner,,ダーク・プリズナー,,메인,일반,FALSE,,,0,FALSE
4180,15042735,Hurricail,,ハリケル,,메인,일반,FALSE,,,0,FALSE
4181,42431843,Ancient Brain,마천도사,魔天老,,메인,일반,FALSE,,,0,FALSE
4182,88435542,Fire Eye,,ファイヤー・アイ,,메인,일반,FALSE,,,0,FALSE
4183,15820147,Monsturtle,,モンスタートル,,메인,일반,FALSE,,,0,FALSE
4184,41218256,Claw Reacher,킬러의 손톱,キラー・ザ・クロー,,메인,일반,FALSE,,,0,FALSE
4185,77603950,Phantom Dewan,,サターナ,,메인,일반,FALSE,,,0,FALSE
4186,14708569,Arlownay,,アルラウネ,,메인,일반,FALSE,,,0,FALSE
4187,40196604,Dark Shade,,ダークシェイド,,메인,일반,FALSE,,,0,FALSE
4188,77581312,Masked Clown,,仮面道化,,메인,일반,FALSE,,,0,FALSE
4189,3985011,Lucky Trinket,,ホーリー・パワー,,메인,일반,FALSE,,,0,FALSE
4190,49370026,Genin,,ジャグラー,,메인,일반,FALSE,,,0,FALSE
4191,64511793,Eyearmor,,コピックス,,메인,일반,FALSE,,,0,FALSE
4192,2863439,Fiend Reflection #2,마경 소환,ミラージュ,,메인,일반,FALSE,,,0,FALSE
4193,49258578,Gate Deeg,,ヘルゲート・ディーグ,,메인,일반,FALSE,,,0,FALSE
4194,75646173,Synchar,,ファランクス,,메인,일반,FALSE,,,0,FALSE
4195,1641882,Fusionist,퓨저니스트,フュージョニスト,,엑스트라,융합,FALSE,기타,융합,0,TRUE
4196,38035986,Akakieisu,,レッド・エース,,메인,일반,FALSE,,,0,FALSE
4197,9430387,LaLa Li-oon,,ララ・ライウーン,,메인,일반,FALSE,,,0,FALSE
4198,1929294,Key Mace,키 메이스,キーメイス,,메인,일반,FALSE,,,0,FALSE
4199,37313348,Turtle Tiger,터틀 타이거,タートル・タイガー,,메인,일반,FALSE,,,0,FALSE
4200,63308047,Terra the Terrible,마인 테라,魔人 テラ,,메인,일반,FALSE,,,0,FALSE
4201,756652,Doron,,ドローン,,메인,일반,FALSE,,,0,FALSE
4202,36151751,Arma Knight,,アンモ・ナイト,,메인,일반,FALSE,,,0,FALSE
4203,63545455,Mech Mole Zombie,,ゾンビランプ,,메인,일반,FALSE,,,0,FALSE
4204,99030164,Happy Lover,,ハッピー・ラヴァー,,메인,일반,FALSE,,,0,FALSE
4205,36039163,Penguin Knight,펭귄 기사,ペンギン・ナイト,,메인,효과,FALSE,전용,펭귄,0,FALSE
4206,75356564,Petit Dragon,꼬마용,プチリュウ,,메인,일반,FALSE,,,0,FALSE
4207,98818516,Frenzied Panda,킬러 팬더,キラーパンダ,,메인,일반,FALSE,,,0,FALSE
4208,75889523,Archfiend Marmot of Nefariousness,데몬 비버,デーモン・ビーバー,,메인,일반,FALSE,,,0,FALSE
4209,61201220,Phantom Ghost,,ゴースト,,메인,일반,FALSE,,,0,FALSE
4210,98795934,Mabarrel,,マキャノン,,메인,일반,FALSE,,,0,FALSE
4211,24194033,Dorover,,ドローバ,,메인,일반,FALSE,,,0,FALSE
4212,60589682,Twin Long Rods #1,,グロス,,메인,일반,FALSE,,,0,FALSE
4213,97973387,Droll Bird,,スピック,,메인,일반,FALSE,,,0,FALSE
4214,38142739,Petit Angel,꼬마천사,プチテンシ,,메인,일반,FALSE,,,0,FALSE
4215,39175982,Winged Cleaver,,ダークキラー,,메인,일반,FALSE,,,0,FALSE
4216,96851799,Hinotama Soul,불의 영혼,スティング,,메인,일반,FALSE,,,0,FALSE
4217,15510988,Thunder Kid,,サンダー・キッズ,,메인,일반,FALSE,,,0,FALSE
4218,53832650,Meotoko,,バビロン,,메인,일반,FALSE,,,0,FALSE
4219,85639257,Aqua Madoor,물의 조종자,アクア・マドール,,메인,일반,FALSE,,,0,FALSE
4220,15401633,Kagemusha of the Blue Flame,시엔의 무사,紫炎の影武者,,메인,일반,FALSE,,,0,FALSE
4221,58528964,Flame Ghost,프레임 고스트,フレイム・ゴースト,,엑스트라,융합,FALSE,기타,융합,0,TRUE
4222,84916669,Doriado,드리야드,ドリアード,,메인,일반,FALSE,,,0,FALSE
4223,11901678,Black Skull Dragon,블랙 데몬즈 드래곤,ブラック・デーモンズ・ドラゴン,,엑스트라,융합,FALSE,전용,흑룡,0,FALSE
4224,57305373,Two-Mouth Darkruler,두개의 입을 가진 다크룰러,二つの口を持つ闇の支配者,,메인,일반,FALSE,,,0,FALSE
4225,84794011,Solitude,,ソリテュード,,메인,일반,FALSE,,,0,FALSE
4226,10189126,Masked Sorcerer,가면마도사,仮面魔道士,,메인,효과,FALSE,,,0,FALSE
4227,56283725,Kumootoko,거미 인간,蜘蛛男,,메인,일반,FALSE,,,0,FALSE
4228,83678433,Midnight Fiend,,ミッドナイト・デビル,,메인,일반,FALSE,,,0,FALSE
4229,19066538,Roaring Ocean Snake,포효하는 바다뱀,轟きの大海蛇,,엑스트라,융합,FALSE,기타,융합,0,TRUE
4230,46461247,Trap Master,함정술사,トラップ・マスター,,메인,효과,FALSE,,,0,FALSE
4231,22855882,Fiend Sword,,呪われし魔剣,,메인,일반,FALSE,,,0,FALSE
